blah,ID,Date,Landcover,Area,Area_Difference
,2,1/12/2018,Bare Soil,27.83,19.25
,2,1/12/2018,High Marsh,36.81,0.58
,2,1/12/2018,Mid Marsh,12.13,-18.23
,2,1/12/2018,Senesced,8.75,-1.1
,2,1/12/2018,Subtidal,9.93,-0.48
,3,11/3/2018,Bare Soil,11.77,3.19
,3,11/3/2018,High Marsh,27.47,-8.76
,3,11/3/2018,Mid Marsh,34.09,3.73
,3,11/3/2018,Senesced,12.57,2.72
,3,11/3/2018,Subtidal,9.55,-0.86
,4,11/12/2020,Bare Soil,11.24,2.66
,4,11/12/2020,High Marsh,29.74,-6.49
,4,11/12/2020,Mid Marsh,36.93,6.57
,4,11/12/2020,Senesced,11.04,1.19
,4,11/12/2020,Subtidal,6.48,-3.93
