id,date,class,area_m,area_ha,area_diff
1,11/13/2017,Bare Soil,85900,8.59,NA
1,11/13/2017,High Marsh,362300,36.23,NA
1,11/13/2017,Mid Marsh,303100,30.31,NA
1,11/13/2017,Senesced,98400,9.84,NA
1,11/13/2017,Subtidal,104600,10.46,NA
2,1/12/2018,Bare Soil,276900,27.69,19.1
2,1/12/2018,High Marsh,321100,32.11,-4.12
2,1/12/2018,Mid Marsh,150600,15.06,-15.25
2,1/12/2018,Senesced,99000,9.9,0.06
2,1/12/2018,Subtidal,106900,10.69,0.23
3,11/3/2018,Bare Soil,121700,12.17,3.58
3,11/3/2018,High Marsh,273900,27.39,-8.84
3,11/3/2018,Mid Marsh,336900,33.69,3.38
3,11/3/2018,Senesced,128200,12.82,2.98
3,11/3/2018,Subtidal,93800,9.38,-1.08
4,11/12/2020,Bare Soil,113800,11.38,2.79
4,11/12/2020,High Marsh,295300,29.53,-6.7
4,11/12/2020,Mid Marsh,369100,36.91,6.6
4,11/12/2020,Senesced,108800,10.88,1.04
4,11/12/2020,Subtidal,67300,6.73,-3.73
