blah,ID,Date,Variable,Gini Value
,1,11/13/2017,Soil Fractions,55.01464
,1,11/13/2017,Vegetation Fractions,61.43023
,1,11/13/2017,Senesced Fractions,25.65853
,1,11/13/2017,Subtidal Fractions,50.03128
,1,11/13/2017,Shade Fractions,20.33924
,1,11/13/2017,NDVI,62.94349
,1,11/13/2017,mARI,16.82007
,2,1/12/2018,Soil Fractions,33.663458
,2,1/12/2018,Vegetation Fractions,37.73596
,2,1/12/2018,Senesced Fractions,34.216752
,2,1/12/2018,Subtidal Fractions,23.627801
,2,1/12/2018,Shade Fractions,14.814905
,2,1/12/2018,NDVI,19.615164
,2,1/12/2018,mARI,9.653633
,2,1/12/2018,Bare Surface Model,25.994926
,3,11/3/2018,Soil Fractions,41.94955
,3,11/3/2018,Vegetation Fractions,82.28978
,3,11/3/2018,Senesced Fractions,54.36208
,3,11/3/2018,Subtidal Fractions,19.12339
,3,11/3/2018,Shade Fractions,29.50984
,3,11/3/2018,NDVI,79.39682
,3,11/3/2018,mARI,53.44834
,4,11/12/2020,Soil Fractions,65.65641
,4,11/12/2020,Vegetation Fractions,58.39768
,4,11/12/2020,Senesced Fractions,43.69825
,4,11/12/2020,Subtidal Fractions,30.01677
,4,11/12/2020,Shade Fractions,46.47726
,4,11/12/2020,NDVI,109.51352
,4,11/12/2020,mARI,98.56566
