date,class,producer_error,user_error
11/12/2020,Bare Soil,0.012820513,0.06097561
11/12/2020,High Marsh,0.011428571,0.005747126
11/12/2020,Mid Marsh,0.064,0.071428571
11/12/2020,Senesced,0.009259259,0
11/12/2020,Subtidal/Water,0.089108911,0.06122449
01/12/2018,Bare Soil,0.05,0.037974684
01/12/2018,High Marsh,0.048387097,0.016666667
01/12/2018,Mid Marsh,0.105263158,0.170731707
01/12/2018,Senesced,0,0
01/12/2018,Subtidal/Water,0.1,0.1
11/13/2018,Bare Soil,0,0.019607843
11/13/2018,High Marsh,0,0
11/13/2018,Mid Marsh,0.024390244,0
11/13/2018,Senesced,0,0.017857143
11/13/2018,Subtidal/Water,0,0
11/03/2017,Bare Soil,0.061538462,0.102941176
11/03/2017,High Marsh,0,0
11/03/2017,Mid Marsh,0.071942446,0.030075188
11/03/2017,Senesced,0.087719298,0.018867925
11/03/2017,Subtidal/Water,0.029411765,0.12
